TIMESTAMP RX_BYTES RX_PACKETS RX_ERRORS RX_DROPPED TX_BYTES TX_PACKETS TX_ERRORS TX_DROPPED
2025-10-14 15:25:15 RX: bytes packets errors 2801088034 5686657 0 0
2025-10-14 15:25:25 RX: bytes packets errors 2803516594 5696583 0 0
2025-10-14 15:25:35 RX: bytes packets errors 2806799704 5705730 0 0
2025-10-14 15:25:45 RX: bytes packets errors 2809096694 5714916 0 0
2025-10-14 15:25:55 RX: bytes packets errors 2811476447 5724548 0 0
2025-10-14 15:26:05 RX: bytes packets errors 2814891713 5734315 0 0
2025-10-14 15:26:15 RX: bytes packets errors 2817071561 5742838 0 0
2025-10-14 15:26:25 RX: bytes packets errors 2819751449 5753680 0 0
2025-10-14 15:26:35 RX: bytes packets errors 2823722480 5765562 0 0
2025-10-14 15:26:45 RX: bytes packets errors 2826241242 5775854 0 0
2025-10-14 15:26:55 RX: bytes packets errors 2828888271 5786889 0 0
2025-10-14 15:27:05 RX: bytes packets errors 2832843309 5797862 0 0
2025-10-14 15:27:15 RX: bytes packets errors 2835455716 5808842 0 0
2025-10-14 15:27:25 RX: bytes packets errors 2838241772 5820634 0 0
2025-10-14 15:27:35 RX: bytes packets errors 2842465901 5833277 0 0
2025-10-14 15:27:45 RX: bytes packets errors 2845545058 5846411 0 0
2025-10-14 15:27:55 RX: bytes packets errors 2848467099 5858714 0 0
2025-10-14 15:28:05 RX: bytes packets errors 2852258921 5869118 0 0
2025-10-14 15:28:15 RX: bytes packets errors 2854700380 5879196 0 0
2025-10-14 15:28:25 RX: bytes packets errors 2857183773 5889573 0 0
2025-10-14 15:28:36 RX: bytes packets errors 2861172837 5901928 0 0
2025-10-14 15:28:46 RX: bytes packets errors 2863420842 5910851 0 0
2025-10-14 15:28:56 RX: bytes packets errors 2865571608 5919737 0 0
2025-10-14 15:29:06 RX: bytes packets errors 2868816803 5928944 0 0
2025-10-14 15:29:16 RX: bytes packets errors 2871513024 5943038 0 0
2025-10-14 15:29:26 RX: bytes packets errors 2873570626 5951887 0 0
2025-10-14 15:29:36 RX: bytes packets errors 2877166678 5962874 0 0
2025-10-14 15:29:46 RX: bytes packets errors 2879640681 5973387 0 0
2025-10-14 15:29:56 RX: bytes packets errors 2881917238 5983003 0 0
2025-10-14 15:30:06 RX: bytes packets errors 2885732321 5994781 0 0
2025-10-14 15:30:16 RX: bytes packets errors 2888027010 6003892 0 0
2025-10-14 15:30:26 RX: bytes packets errors 2890585537 6014301 0 0
2025-10-14 15:30:36 RX: bytes packets errors 2894548534 6027260 0 0
2025-10-14 15:30:46 RX: bytes packets errors 2896805508 6036397 0 0
2025-10-14 15:30:56 RX: bytes packets errors 2899244525 6046323 0 0
2025-10-14 15:31:06 RX: bytes packets errors 2902801202 6056782 0 0
2025-10-14 15:31:16 RX: bytes packets errors 2905111340 6066243 0 0
2025-10-14 15:31:26 RX: bytes packets errors 2907377446 6075415 0 0
2025-10-14 15:31:36 RX: bytes packets errors 2910832326 6085956 0 0
2025-10-14 15:31:46 RX: bytes packets errors 2912944756 6094432 0 0
2025-10-14 15:31:56 RX: bytes packets errors 2915060675 6103074 0 0
2025-10-14 15:32:06 RX: bytes packets errors 2917834993 6110479 0 0
2025-10-14 15:32:16 RX: bytes packets errors 2919618837 6117079 0 0
2025-10-14 15:32:26 RX: bytes packets errors 2921369321 6123745 0 0
2025-10-14 15:32:36 RX: bytes packets errors 2923822793 6130484 0 0
2025-10-14 15:32:46 RX: bytes packets errors 2925524477 6136436 0 0
2025-10-14 15:32:56 RX: bytes packets errors 2927266224 6143369 0 0
2025-10-14 15:33:06 RX: bytes packets errors 2929755636 6150171 0 0
2025-10-14 15:33:16 RX: bytes packets errors 2931433622 6156069 0 0
2025-10-14 15:33:26 RX: bytes packets errors 2933229677 6162791 0 0
2025-10-14 15:33:36 RX: bytes packets errors 2935680236 6169718 0 0
2025-10-14 15:33:46 RX: bytes packets errors 2937367024 6175707 0 0
2025-10-14 15:33:56 RX: bytes packets errors 2939115800 6182345 0 0
2025-10-14 15:34:06 RX: bytes packets errors 2941508896 6188951 0 0
2025-10-14 15:34:16 RX: bytes packets errors 2943150416 6194724 0 0
2025-10-14 15:34:26 RX: bytes packets errors 2944878611 6201340 0 0
2025-10-14 15:34:36 RX: bytes packets errors 2947403725 6208699 0 0
2025-10-14 15:34:46 RX: bytes packets errors 2949054360 6214518 0 0
2025-10-14 15:34:56 RX: bytes packets errors 2950806313 6221131 0 0
2025-10-14 15:35:06 RX: bytes packets errors 2953248938 6227820 0 0
2025-10-14 15:35:16 RX: bytes packets errors 2954947981 6233745 0 0
2025-10-14 15:35:26 RX: bytes packets errors 2956659441 6240202 0 0
2025-10-14 15:35:36 RX: bytes packets errors 2959208398 6247433 0 0
2025-10-14 15:35:46 RX: bytes packets errors 2960818354 6253186 0 0
2025-10-14 15:35:56 RX: bytes packets errors 2962573141 6259894 0 0
2025-10-14 15:36:06 RX: bytes packets errors 2965254884 6267697 0 0
2025-10-14 15:36:16 RX: bytes packets errors 2968628849 6274676 0 0
2025-10-14 15:36:26 RX: bytes packets errors 2970456203 6281871 0 0
2025-10-14 15:36:36 RX: bytes packets errors 2972986034 6289588 0 0
2025-10-14 15:36:46 RX: bytes packets errors 2974658496 6295575 0 0
2025-10-14 15:36:56 RX: bytes packets errors 2976395997 6302428 0 0
